RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Date,Home Value
99618,5053,98188,zip,WA,WA,Seatac,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,171434.0
99562,5091,98102,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,282932.0
99537,5165,98055,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,191507.0
99553,5277,98075,zip,WA,WA,Sammamish,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,464238.0
99613,5358,98177,zip,WA,WA,Shoreline,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,322837.0
99507,5390,98022,zip,WA,WA,Enumclaw,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,207203.0
99607,5623,98166,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,247932.0
99624,5659,98199,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,363158.0
99493,5870,98005,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,343205.0
99580,6595,98121,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,261314.0
99591,6800,98136,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,276600.0
99529,7669,98045,zip,WA,WA,North Bend,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,278521.0
99539,8166,98057,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,178954.0
99504,8291,98019,zip,WA,WA,Duvall,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,282067.0
99564,8303,98104,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,250782.0
99554,8327,98077,zip,WA,WA,Woodinville,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,418754.0
99561,8647,98101,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,234678.0
99546,8677,98065,zip,WA,WA,Snoqualmie,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,312833.0
99598,9071,98148,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,181396.0
99548,9524,98070,zip,WA,WA,Vashon,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,278605.0
99502,10785,98014,zip,WA,WA,Carnation,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,299862.0
99509,11139,98024,zip,WA,WA,Fall City,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,326071.0
